sentiment	numberagreed	tweetid	tweet
neutral	5	48525	Apple se tournerait vers Samsung pour les dalles de l'iPad 2 ~http
neutral	5	48880	L'ex-associé du fondateur de Microsoft publie un livre à charge sur celui qui aurait tenté de l'arnaquer.
negative	3	30839	Rentrée à 13h30 et fin à même pas 15h; les gars fallait nous faire rentrer demain en fait ... trucs inutiles ftw.
negative	3	51379	Les gens qui écrivent "et" à la place de "est" ne méritent pas de tweeter. Ni même d'exister; ouais.
negative	3	27316	Je viens de voir "Tempest : without a body" au Maillon et je n'ai rien compris. C'était très ennuyeux !
positive	3	27224	Rassurez-vous; j'ai fini xD
positive	3	18794	508 com's; 108 ami(e)'s; 600 visite wahoo !! Merci =) et se qui ne connaise pas; venait vite =)
negative	3	14585	Tellement triste de ne pas être marraine @user
neutral	3	36621	Malgré le tsunami médiatique; je ferais bien une analyse différenciée de genre à propos des réactions sur l'affaire #cantat #mouawad #tnm
positive	3	18289	Ahhh coool @user  je te le send tout de suite! voisin dall amo moromeee ;);@Mansour_K_Faye
neutral	3	22091	Microsoft continue de se faire de l'argent sur Android ~http 
positive	3	3877	Heeennn j'aime trop lire les VDM comme sa je vois qui a une vie plus pourrie que la mienne :) ImèneFacts#
positive	3	41670	j'conseil l'animé "Deadman Wonderland" qui est une très belle surprise pour moi description du mangas là ~http  vraiment génial
neutral	3	28903	Alors c'était comment le SILA ?
positive	3	15441	Heureusement ADIDAS est là pou penser aux femmes ! RT: @user Adidas lance une page Facebook dédiée aux femmes ~http 
negative	3	34511	FX ... #RienÀFoutre
neutral	3	7968	LFMQ semaine no.11: duel au sommet à St-Georges de Beauce: Châteauguay (6-1) vs Beauce (6-1). Les vainqueurs termineront au premier rang.
positive	3	130792	Le Samsung N150 est très solide; je vous le conseille ! #crashtest
neutral	3	641	CSPE: la Cour des Comptes ouvre un débat; Energie 2007.fr ~http 
