sentiment	numberagreed	tweetid	tweet
neutral	6	12907	New Post:  Samsung bestätigt Produktionsbeginn biegsamer OLED-Displays für 2012 ~http 
neutral	6	24403	Base Lutea oder Samsung Galaxy Ace?  Ich hab die Qual der Wahl. Welches würdet ihr nehmen?
neutral	5	34237	Jeden Tag ein neues Aktionsangebot - das Kenner-Tagesangebot vom 22. Juli 2011: Das Sony Alpha A390 Set: ~http 
neutral	3	9096	Hör dir Katy Perry von Firework an! Ich habe den Song gerade mit TrackID™ von Sony Ericsson gefunden.
positive	3	40121	Dank @user geht es mir jetzt schon besser *_* &lt;3
neutral	3	14742	Lunett ~http
neutral	3	37066	Noch Irgendwer; der den Grimm-Stoff aufgreift? Kommt da vllt eine neue Trendwelle? Zurück zu den Märchen; nur etwas aufgehübscht; moderner?
neutral	3	41993	Dieses Video weitergeben -- Manfred Kriegel; 24 Stunden Hat Der Tag.MPG Fernfahrer - Song ~http  via @user
neutral	3	71995	Urteil: Samsung darf Galaxy Tab nicht verkaufen ~http  #Apple #ipad #samsung #galaxypad #Patente #Monopol
positive	3	45501	zu Hause (:
neutral	3	11910	hab ein sony ericsson satio
neutral	3	31453	Alle Freunde des Wintersports können sich freuen. Ab Freitag ist auch der Skilift am Pröller-Nordhang in Betrieb.... ~http 
neutral	3	37461	Hallo Welt !
negative	3	13128	Okay der straßenbahnfahrer is besoffen Oo fährt rückwärts mit offen türen ... Hallo?
neutral	3	41931	#24hberlin erst ein bisschen Stream; dann einige Stunden publicviewing; dann Atom Demo; dann wieder pv; und seit 21h am pc - puuuuh
positive	3	5045	Frohe Weihnachten alle zusammen. Ich hoffe ihr lasst euch alle gut beschenken. Und habt ein schönes Fest.
neutral	3	17943	“@JanSchmidt: sagt man eigentlich auch "untige"; analog zu "obige"?” kenne nur "nebig" - und das ist schon leicht schräg
neutral	3	15726	bin im r.l. besoffen; mir doch egal; was mit I.Steeger ist. püh.
positive	3	27736	Die @user und ich haben heute einen besonders tollen Platz zum lernen :) mit frechen Enten  ~http 
positive	3	32098	Schlafen. || Morgen Arbeiten; dann Jule hier ^-^
neutral	3	20025	Videothek zwecks Abk. durch Hintereingang der 18+ Abteilung betreten.Interessant wie viele Rentner da rumhängen.Koronale Trainingsmaßnahme?
neutral	3	22261	Lapidar beim Köpi Filmaward. Bitte voten und weiter sagen! ~http 
positive	3	43646	Caprica ist eine geile Serie! Schauen !
positive	3	32892	Premium-Strategie = exzellente Produkte + Dienst-Leistungen hoher Qualität und überdurchschnittlicher Preise: Emotionen = Kauf-Entscheidung!
neutral	3	10004	neu bei twitter
negative	3	13092	Boa heute ist wieder nur assis im Zug Tag. Laut und es stinkt -____-
positive	3	9374	Gute nacht ! Schlaft gut ihr alle!
neutral	3	82693	Microsoft-Apps für Symbian angekündigt: Nokias Kooperation mit Microsoft wird demnächst Früchte tragen: So solle... ~http 
neutral	3	26377	"Mein Audi TT hat Fronantrieb." Jupp; glaub ich Dir sogar.
positive	3	49545	Yeaaahh geil ; kanns kaum abwarten! Wann ist der realese ???RT @user am Freitag signing für den Re Release mit Sony von Blauer Samt
positive	3	36815	War gestern das erste mal in einem Fitness-Studio. Hab eigentlich einen verdammt großen muskelkater erwartet; aber heute merk ich nichts :-D
negative	3	142728	warum hat man das slidepad vom nintendo 3ds nicht blau; bzw. schwarz gelassen; sondern ist in der finalen version grau?
neutral	3	5759	Photo: Winterstiefel ADIDAS M Attitude Aus Veloursleder mit weichem Warmfutter (100% Polyester). Ferse mit... ~http 
neutral	3	29129	Die Geschichte des Like Button! #Facebook ~http 
negative	3	35734	Gelbe Markierungen auf der Domänenstraße in Konz. Da steckt sicher der LBM dahinter. Ich erahne schon die nächste Baustelle für die Konzer!
positive	3	5930	Kulturrampe Metal Night mit Rising Glory; Vanguard und Sacred Gate. Noch eine Band bisher geiler Abend
neutral	3	39449	Unser GM Achim Berg zu Entwicklungen in der ITK-Branche; Microsoft Geschäftsstrategie&Bedeutung der #CeBIT.... ~http 
neutral	3	43113	Kreuzfahrt-Alternativen zu Ägypten und Tunesien bei Costa ~http  und Oceania ~http
neutral	3	18112	Diabetes - Die unterschätzte Gefahr ~http  Sehr eindringlich!
neutral	3	45686	Wir brauchen nicht zu prüfen;ob die ganze Arbeit ein Plagiat ist; sagte der praesident@uni-bayreuth.de ;sehen das alle so? #Guttenberg #fail
neutral	3	4483	GPL: Wie muss der Quelltext angeboten werden?: Der Streit um mögliche Verletzungen der GPL durch Android-Geräte ... ~http 
neutral	3	8842	Weisheit des Tages: "In der Kanalisation lebst der Kanaligator."
neutral	3	36706	Kopfsport Flashback #2: Daster und Menace am rappen; der Hofnarr wie immer am Beatschrauben und der Firsty am... ~http 
neutral	3	41634	fährt jetzt ins Internat
positive	3	43937	Nur noch 2 Tage und dann ist wieder allseits bekannt; in Twistringen sind sie wieder alle Voll bis Oberkante Rand :D
neutral	3	32330	Austausch auf höchstem Niveau:: Eventprofis treffen sich im September in Luxemburg zum „1. European Event Summit“ ~http 
neutral	3	105264	Ist das Samsung Galaxy S2 irgendwo ab Lager lieferbar??
neutral	3	22571	Abverkauf Kabelsortiment - #20% auf alle #Proel Kabel ~http  (by ~mh) #20% auf alle #Proel Kabel
neutral	3	46181	Ferienwohnung Stanici Omis *** MODERN ART *** Ferienhaus Unterkunft Urlaub ~http  via @user
neutral	3	25397	Heute #WDR 5 #Zeitzeichen: 11. April 1936 Der Tod des Soziologen Ferdinand #Tönnies wird bekannt gegeben ~http  #Soziologie
neutral	3	1768	Vorhin mit 5 Leuten die Sailor moon OP gesungen~ :3
neutral	3	1487	Muss mal wieder ein Buch verkaufen; bitte helft mir. ~http
neutral	3	10313	Heinz-Christian Strache   Telefon   +436643033839 #fpoe
neutral	3	27245	Via Facebook wieder im Google-Index. ~http 
neutral	3	33450	Ich bin auch 16 km gelaufen Waren mir 3 die einzigsten ?
neutral	3	18986	Android News wurde gerade veröffentlicht! ~http  ▸ Titelthemen heute: @user @user @user @user
