sentiment	workerid	tweetid	tweet
neutral	AUW4KIZ6BQ496	1724	~heute Abend Fußball Brasilien gegen Germany nu mal schauen  ZDF 20:15 :) wers nicht wissen sollte...
neutral	A2DBE2ZBGL1FA1	1724	~heute Abend Fußball Brasilien gegen Germany nu mal schauen  ZDF 20:15 :) wers nicht wissen sollte...
neutral	A3Q730ODZOHYZE	1724	~heute Abend Fußball Brasilien gegen Germany nu mal schauen  ZDF 20:15 :) wers nicht wissen sollte...
neutral	A2MIB5EPM59BA5	82722	[Gerücht] Nozomi: Sony Ericssons neues Flaggschiff: Offenbar wird bald ein neues Flaggschiff von Sony Ericsson i... ~http 
neutral	AUW4KIZ6BQ496	82722	[Gerücht] Nozomi: Sony Ericssons neues Flaggschiff: Offenbar wird bald ein neues Flaggschiff von Sony Ericsson i... ~http 
neutral	A4ARZZW7QI98E	82722	[Gerücht] Nozomi: Sony Ericssons neues Flaggschiff: Offenbar wird bald ein neues Flaggschiff von Sony Ericsson i... ~http 
neutral	AUW4KIZ6BQ496	82685	[Gerücht] Microsoft zeigt Windows 8 auf Samsung-Tablet: Schon in wenigen Tagen (am 13. September) will Microsoft... ~http 
neutral	A3QQ949RKK5K1W	82685	[Gerücht] Microsoft zeigt Windows 8 auf Samsung-Tablet: Schon in wenigen Tagen (am 13. September) will Microsoft... ~http 
neutral	A4ARZZW7QI98E	82685	[Gerücht] Microsoft zeigt Windows 8 auf Samsung-Tablet: Schon in wenigen Tagen (am 13. September) will Microsoft... ~http 
positive	A3Q730ODZOHYZE	1549	[DiscoSion] Vielen Dank für verfolgen! Ich hoffe euch bei unserer Veranstaltung im Namen der Iniziatoren begrüßen zu konnen VG @user ...
positive	A4ARZZW7QI98E	1549	[DiscoSion] Vielen Dank für verfolgen! Ich hoffe euch bei unserer Veranstaltung im Namen der Iniziatoren begrüßen zu konnen VG @user ...
neutral	AUW4KIZ6BQ496	1549	[DiscoSion] Vielen Dank für verfolgen! Ich hoffe euch bei unserer Veranstaltung im Namen der Iniziatoren begrüßen zu konnen VG @user ...
positive	A4ARZZW7QI98E	36600	Zurück von der #fusion - Gesund und glücklich; aber nass!
neutral	AUW4KIZ6BQ496	36600	Zurück von der #fusion - Gesund und glücklich; aber nass!
neutral	A2DBE2ZBGL1FA1	36600	Zurück von der #fusion - Gesund und glücklich; aber nass!
negative	AUW4KIZ6BQ496	34278	Zurück in Düsseldorf - war klar dass das Wetter schlecht ist...
negative	A3QQ949RKK5K1W	34278	Zurück in Düsseldorf - war klar dass das Wetter schlecht ist...
negative	A4ARZZW7QI98E	34278	Zurück in Düsseldorf - war klar dass das Wetter schlecht ist...
neutral	A2MIB5EPM59BA5	44561	Zurück in Curacao :)
positive	A4ARZZW7QI98E	44561	Zurück in Curacao :)
positive	AUW4KIZ6BQ496	44561	Zurück in Curacao :)
neutral	AUW4KIZ6BQ496	20898	Zurück aus München; am WE Umzug Teil III
neutral	A3Q730ODZOHYZE	20898	Zurück aus München; am WE Umzug Teil III
neutral	A4ARZZW7QI98E	20898	Zurück aus München; am WE Umzug Teil III
positive	A4ARZZW7QI98E	43289	Zum ersten mal ein Tweed von einem Apple gerät fühlt man sich gleich mehr in der gesellschaft akzeptiert
neutral	AUW4KIZ6BQ496	43289	Zum ersten mal ein Tweed von einem Apple gerät fühlt man sich gleich mehr in der gesellschaft akzeptiert
positive	A3Q730ODZOHYZE	43289	Zum ersten mal ein Tweed von einem Apple gerät fühlt man sich gleich mehr in der gesellschaft akzeptiert
negative	AMVYAXSG8W4RE	34418	Zum #Plagiat Vorfall: Selbst der erste Absatz findet sich woander wieder. Schon dreist. ~http 
negative	A4ARZZW7QI98E	34418	Zum #Plagiat Vorfall: Selbst der erste Absatz findet sich woander wieder. Schon dreist. ~http 
negative	A3Q730ODZOHYZE	34418	Zum #Plagiat Vorfall: Selbst der erste Absatz findet sich woander wieder. Schon dreist. ~http 
negative	A4ARZZW7QI98E	123998	Zukünftiger Samsung Galaxy Besitzer vom Nebentisch hat endlich das Lokal verlassen. Selten soviel Schwachsinn (mitan)gehört.
negative	A3QQ949RKK5K1W	123998	Zukünftiger Samsung Galaxy Besitzer vom Nebentisch hat endlich das Lokal verlassen. Selten soviel Schwachsinn (mitan)gehört.
na	A3Q730ODZOHYZE	123998	Zukünftiger Samsung Galaxy Besitzer vom Nebentisch hat endlich das Lokal verlassen. Selten soviel Schwachsinn (mitan)gehört.
neutral	AUW4KIZ6BQ496	6038	Zugeschneiter Eingang uzu den Ferienwohnungen ~http 
neutral	A4ARZZW7QI98E	6038	Zugeschneiter Eingang uzu den Ferienwohnungen ~http 
negative	A2DBE2ZBGL1FA1	6038	Zugeschneiter Eingang uzu den Ferienwohnungen ~http 
