sentiment	numberagreed	tweetid	tweet
neutral	6	902827	Camera SONY ALPHA DSLR-A700 DIGITAL CAMERA+8GB KIT NEW Price: $320 USD Online Order: ~http 
positive	4	1746368	OH MY BASED GOD. Those new Nike Mags light the fuck up. AM I 6 AGAIN!? #soexcited #theylookfuckedup #butimgettingthemanywaysfuckit
neutral	3	507681	Check this video out -- French Montana Ft. Rick Ross; Wiz Khalifa; Gucci Mane & Waka Flocka Flam... ~http  via @user
neutral	3	2139763	#teamfollowback #teamfollowback #teamfollowback #teamfollowback #teamfollowback #i #follow #back!!
positive	3	2495778	Post wedding shower! #heaven
neutral	3	308152	$50;000 and a Microsoft executive for 5 grand prizes winners; #Office365 is Ready to Work for you ~http
neutral	3	2322931	Breaking down Microsoft and Yahoo's search deal - CNET News: ~http 
neutral	3	376679	MXF Import QT 2.4 b3 available for download. Final candidate with support for D-MAT; Sony XDCAM proxies and Adobe Cinema DNG.
neutral	3	1404515	Retweet to be added to the #FourTheRecord mosaic at ~http  - new album from @user coming 11.1.11
neutral	3	364488	Happy Monday!  InsideOUT will be discussing Media Representation of the Queer Community from 6-7pm in the LGBTQ Resource Center.
neutral	3	3045051	Fresh on nike shoes: Agent Free-agent safety Wilson agrees to join Bengals
positive	3	90077	Hope everyone is having a great day today! It's hot here in Atlanta! Will be posting some new Microsoft job opportunities later today!
neutral	3	2043934	Kibler comes out swinging with turn 2 Squadron Hawk; but has to fight subpar mana and his opponents control #gpatl
positive	3	541837	I'm an old school Nintendo Mario lover! Lol RT @user Wow old school games were HARD! #3DS #Metroid
negative	3	2507510	eurgh EPIC FAIL on the tweet front; spelling mistakes aaand words missing?? Must try harder...
neutral	3	2004516	theres a difference between giving up; and knowing when you've had enough
positive	3	2276778	Spotlite is amazing. .:)
negative	3	609489	Rick Ross is so trash to me; if it wasnt for #teamilluminati that nigga wouldnt even exist...that goes for waka and gucci too
neutral	3	2741918	And here's the link to the  video RT @user @user and @user on AOL:  ~http 
neutral	3	400758	SAMSUNG USA + UNFREEZE CODE BACK ONLINE - After a long wait we are now happy to announce that Samsung USA... ~http 
negative	3	1312154	the last place i want to be right now when i feel like shit is theatre class.. #IWantMyBed
neutral	3	2361061	Maplewood's Hilton library manager leaves to direct Glen Rock: The Hilton Branch library in Maplewood needs a ne... ~http 
neutral	3	157018	Episode 18: Microsoft Tag with Sandeep Gopal Nair ~http
positive	3	131073	Miami florida palm trees and all I love it here
neutral	3	371526	Why am I drawn to early morning jobs/ activities? Night night
negative	3	2776912	Why cant ii eat anythingg! This really isnt me to not eat my tea! xx
positive	3	431516	Happy Birthday..ur a libra with a scorpio personality..I love it!!@caddykim
neutral	3	2628651	blagojevich verdict ~http  Poll: Will the Jury find Rod Blagojevich innocent or guilty?
neutral	3	746490	check out @user video from @user ----&gt; ~http 
neutral	3	628684	What’s New With Microsoft Office 2010 ~http 
neutral	3	478063	damn! RT @user The lowest bid for the NIKE MAG is $4000 -_____-
neutral	3	1140837	playing on my nintendo club penguin
neutral	3	1930814	What do you think of the number 19?
negative	3	1586067	Please #wakemeupwhen you stop calling yourself a barbie over there looking like Ken and Scooby Doo.. make sure u shave that mustache bitch
neutral	3	443378	Minibus and Coach hire London; 8-24 Seat Shuttle Bus People carriers; 16; 24; 29; 35; 58 or 53 seaters ~http
neutral	3	1346788	Ladies Shoe - Kentucky Wildcats Women's Nike White Football Replica Tee Small. Read it now at ~http 
neutral	3	2248371	New Article: Microsoft Wireless Mobile Mouse 4000 – Berry Pink ~http 
