sentiment	workerid	tweetid	tweet
neutral	AL9AA2AQKJ0XP	90497	{SPORT} ADIDAS ADIPURE TRAINERS  : L'ENTRAINEMENT PIEDS NUS ~http 
neutral	A3NRGD5KWZIN5O	90497	{SPORT} ADIDAS ADIPURE TRAINERS  : L'ENTRAINEMENT PIEDS NUS ~http 
na	AIK9MZOWM9F4Y	90497	{SPORT} ADIDAS ADIPURE TRAINERS  : L'ENTRAINEMENT PIEDS NUS ~http 
na	AIK9MZOWM9F4Y	90448	{MODE} La NIKE MAG revient pour le futur afin de combattre la maladie de Parkison - Evènement à NY et les 2 pubs TV ! ~http 
neutral	AX1YZTIROOQG6	90448	{MODE} La NIKE MAG revient pour le futur afin de combattre la maladie de Parkison - Evènement à NY et les 2 pubs TV ! ~http 
neutral	A2LHD8XIKKNNND	90448	{MODE} La NIKE MAG revient pour le futur afin de combattre la maladie de Parkison - Evènement à NY et les 2 pubs TV ! ~http 
positive	A2XWC57PG6KWUB	90454	{MODE} LA NIKE AIR MAG RETOURNE VERS LE FUTUR? L'info tourne depuis sur tous les sites depuis mardi et se révèle réelle ~http
neutral	A2LHD8XIKKNNND	90454	{MODE} LA NIKE AIR MAG RETOURNE VERS LE FUTUR? L'info tourne depuis sur tous les sites depuis mardi et se révèle réelle ~http
positive	AL9AA2AQKJ0XP	90454	{MODE} LA NIKE AIR MAG RETOURNE VERS LE FUTUR? L'info tourne depuis sur tous les sites depuis mardi et se révèle réelle ~http
positive	AL9AA2AQKJ0XP	90482	{MODE} Décontracté-habillé; ça adidas SLVR sait le faire. Quand l'élégance et la mode streetwear ne font qu'un ~http 
positive	A2LHD8XIKKNNND	90482	{MODE} Décontracté-habillé; ça adidas SLVR sait le faire. Quand l'élégance et la mode streetwear ne font qu'un ~http 
positive	AIK9MZOWM9F4Y	90482	{MODE} Décontracté-habillé; ça adidas SLVR sait le faire. Quand l'élégance et la mode streetwear ne font qu'un ~http 
neutral	A2LHD8XIKKNNND	90480	{HIGHTECH} SONY ERICSSON sort prochainement son premier SMARTPHONE ANDROID WALKMAN ~http
neutral	A3NRGD5KWZIN5O	90480	{HIGHTECH} SONY ERICSSON sort prochainement son premier SMARTPHONE ANDROID WALKMAN ~http
neutral	AIK9MZOWM9F4Y	90480	{HIGHTECH} SONY ERICSSON sort prochainement son premier SMARTPHONE ANDROID WALKMAN ~http
neutral	AL9AA2AQKJ0XP	90475	{HIGHTECH} SAMSUNG : LE COMPACT AVEC ECRAN TACTILE PIVOTANT A 180° ~http 
neutral	A2LHD8XIKKNNND	90475	{HIGHTECH} SAMSUNG : LE COMPACT AVEC ECRAN TACTILE PIVOTANT A 180° ~http 
positive	AGI2JJZB08N71	90475	{HIGHTECH} SAMSUNG : LE COMPACT AVEC ECRAN TACTILE PIVOTANT A 180° ~http 
neutral	A3NRGD5KWZIN5O	90471	{HIGHTECH} Le nouveau compact multiview de Samsung : LE COMPACT AVEC ECRAN TACTILE PIVOTANT A 180° ~http 
neutral	AIK9MZOWM9F4Y	90471	{HIGHTECH} Le nouveau compact multiview de Samsung : LE COMPACT AVEC ECRAN TACTILE PIVOTANT A 180° ~http 
neutral	AL9AA2AQKJ0XP	90471	{HIGHTECH} Le nouveau compact multiview de Samsung : LE COMPACT AVEC ECRAN TACTILE PIVOTANT A 180° ~http 
neutral	A3NRGD5KWZIN5O	51102	[vidéo] Eric #Besson en visite à #Marseille | ~http 
na	AGI2JJZB08N71	51102	[vidéo] Eric #Besson en visite à #Marseille | ~http 
na	A2UR4Y9JW4687P	51102	[vidéo] Eric #Besson en visite à #Marseille | ~http 
neutral	AX1YZTIROOQG6	7507	[Twitter] Twitter et Bing renouvelle leur accord sur la recherche en temps réel ~http 
neutral	A2LHD8XIKKNNND	7507	[Twitter] Twitter et Bing renouvelle leur accord sur la recherche en temps réel ~http 
neutral	AL9AA2AQKJ0XP	7507	[Twitter] Twitter et Bing renouvelle leur accord sur la recherche en temps réel ~http 
neutral	A5JHOO3X13D4A	7513	[Twitter] Microsoft renouvelle son accord avec Twitter pour booster Bing ~http
neutral	AIK9MZOWM9F4Y	7513	[Twitter] Microsoft renouvelle son accord avec Twitter pour booster Bing ~http
neutral	A3NRGD5KWZIN5O	7513	[Twitter] Microsoft renouvelle son accord avec Twitter pour booster Bing ~http
positive	A2UR4Y9JW4687P	33638	[SALON] - Venez découvrir en exclusivité les tous premiers modèles de la collection Printemps 2011 sur le salon... ~http 
neutral	AIK9MZOWM9F4Y	33638	[SALON] - Venez découvrir en exclusivité les tous premiers modèles de la collection Printemps 2011 sur le salon... ~http 
neutral	A472U5IT356FS	33638	[SALON] - Venez découvrir en exclusivité les tous premiers modèles de la collection Printemps 2011 sur le salon... ~http 
neutral	AVR599BC03DOO	68774	[News] Un mobile Windows Phone 7 sera offert à tous les employés Microsoft ~http 
neutral	ADJEZQTOOC1TL	68774	[News] Un mobile Windows Phone 7 sera offert à tous les employés Microsoft ~http 
positive	A472U5IT356FS	68774	[News] Un mobile Windows Phone 7 sera offert à tous les employés Microsoft ~http 
positive	A2UR4Y9JW4687P	68787	[News] Sony Ericsson Xperia X8: Une vidéo ~http 
neutral	A2LHD8XIKKNNND	68787	[News] Sony Ericsson Xperia X8: Une vidéo ~http 
na	AIK9MZOWM9F4Y	68787	[News] Sony Ericsson Xperia X8: Une vidéo ~http 
positive	AL9AA2AQKJ0XP	68751	[News] Sony Ericson a une « grande surprise à annoncer » ~http
positive	A2LHD8XIKKNNND	68751	[News] Sony Ericson a une « grande surprise à annoncer » ~http
positive	AIK9MZOWM9F4Y	68751	[News] Sony Ericson a une « grande surprise à annoncer » ~http
positive	AGI2JJZB08N71	38604	[mode geek] oh #Android 2.1 supporte #IPv6 !
neutral	AX1YZTIROOQG6	38604	[mode geek] oh #Android 2.1 supporte #IPv6 !
neutral	A2LHD8XIKKNNND	38604	[mode geek] oh #Android 2.1 supporte #IPv6 !
neutral	AIK9MZOWM9F4Y	44219	[Infographie] RH : l'état du recrutement sur les réseaux sociaux en 2011 ~http  via @user
neutral	A3NRGD5KWZIN5O	44219	[Infographie] RH : l'état du recrutement sur les réseaux sociaux en 2011 ~http  via @user
neutral	AX1YZTIROOQG6	44219	[Infographie] RH : l'état du recrutement sur les réseaux sociaux en 2011 ~http  via @user
neutral	AIK9MZOWM9F4Y	24967	[Déballage] Smartphone Samsung Focus. ~http 
neutral	A3NRGD5KWZIN5O	24967	[Déballage] Smartphone Samsung Focus. ~http 
neutral	A2LHD8XIKKNNND	24967	[Déballage] Smartphone Samsung Focus. ~http 
positive	A2SEG0I7JX3WJ5	7757	[ Je vais dormir; demain dernier jour de cours (a) bonne nuit les filles ♥ ]
neutral	A3NRGD5KWZIN5O	7757	[ Je vais dormir; demain dernier jour de cours (a) bonne nuit les filles ♥ ]
neutral	AIK9MZOWM9F4Y	7757	[ Je vais dormir; demain dernier jour de cours (a) bonne nuit les filles ♥ ]
neutral	A2LHD8XIKKNNND	7792	[ Désolée des réponses tardives j'étais avec l'infirmière ]
neutral	AIK9MZOWM9F4Y	7792	[ Désolée des réponses tardives j'étais avec l'infirmière ]
neutral	A3NRGD5KWZIN5O	7792	[ Désolée des réponses tardives j'étais avec l'infirmière ]
neutral	A2LHD8XIKKNNND	42384	ZAPBSL a un préjugé favorable monolithique pour les personnes et entreprises de sa région où qui en sont originaires. info@zapbsl.org
neutral	A472U5IT356FS	42384	ZAPBSL a un préjugé favorable monolithique pour les personnes et entreprises de sa région où qui en sont originaires. info@zapbsl.org
na	AIK9MZOWM9F4Y	42384	ZAPBSL a un préjugé favorable monolithique pour les personnes et entreprises de sa région où qui en sont originaires. info@zapbsl.org
positive	A3NRGD5KWZIN5O	9835	Youpi... Le Portugal à fait match Nul... Les TL ne sont pas bloqués à Lausanne !!!
positive	AL9AA2AQKJ0XP	9835	Youpi... Le Portugal à fait match Nul... Les TL ne sont pas bloqués à Lausanne !!!
positive	AIK9MZOWM9F4Y	9835	Youpi... Le Portugal à fait match Nul... Les TL ne sont pas bloqués à Lausanne !!!
positive	AL9AA2AQKJ0XP	8559	Youpi Firefox retire également le Flash de son Navigateur ! ... ~http
na	AIK9MZOWM9F4Y	8559	Youpi Firefox retire également le Flash de son Navigateur ! ... ~http
positive	A2LHD8XIKKNNND	8559	Youpi Firefox retire également le Flash de son Navigateur ! ... ~http
positive	AL9AA2AQKJ0XP	44869	Yeah! C'était cool! :-) RT @user A passé une super journée à Annecy avec @user @user @user et @user
positive	A2LHD8XIKKNNND	44869	Yeah! C'était cool! :-) RT @user A passé une super journée à Annecy avec @user @user @user et @user
positive	AX1YZTIROOQG6	44869	Yeah! C'était cool! :-) RT @user A passé une super journée à Annecy avec @user @user @user et @user
na	A2UR4Y9JW4687P	42751	Yeah Freaks; #BrunoInParis ; enf1 il a toujours rien tweeté! WTF; com'on Brunz! ;)
na	AIK9MZOWM9F4Y	42751	Yeah Freaks; #BrunoInParis ; enf1 il a toujours rien tweeté! WTF; com'on Brunz! ;)
negative	A472U5IT356FS	42751	Yeah Freaks; #BrunoInParis ; enf1 il a toujours rien tweeté! WTF; com'on Brunz! ;)
negative	AX1YZTIROOQG6	15343	Ya un gars il a dit a son pote que c'est MOI qui lui parlais tout le temps; mais enfait il a voulu se la pété genre "T'as vu jai une fan"
neutral	A2LHD8XIKKNNND	15343	Ya un gars il a dit a son pote que c'est MOI qui lui parlais tout le temps; mais enfait il a voulu se la pété genre "T'as vu jai une fan"
neutral	AL9AA2AQKJ0XP	15343	Ya un gars il a dit a son pote que c'est MOI qui lui parlais tout le temps; mais enfait il a voulu se la pété genre "T'as vu jai une fan"
negative	A3NRGD5KWZIN5O	15522	Ya de la news aujourd'hui! DSK; l'eurovision; mais le pire c'est: Dianna Agron qui s'est coupée les cheveux!! Mais qui est tjrs belle #pfff
na	AL9AA2AQKJ0XP	15522	Ya de la news aujourd'hui! DSK; l'eurovision; mais le pire c'est: Dianna Agron qui s'est coupée les cheveux!! Mais qui est tjrs belle #pfff
na	AIK9MZOWM9F4Y	15522	Ya de la news aujourd'hui! DSK; l'eurovision; mais le pire c'est: Dianna Agron qui s'est coupée les cheveux!! Mais qui est tjrs belle #pfff
positive	A3NRGD5KWZIN5O	11803	Y'a un renoi dans mon groupe il m'a eu; on voit qu'il vient d'acheter sa paire de nike à Foot Locker ! *je ris fort*
negative	AVR599BC03DOO	11803	Y'a un renoi dans mon groupe il m'a eu; on voit qu'il vient d'acheter sa paire de nike à Foot Locker ! *je ris fort*
positive	AX1YZTIROOQG6	11803	Y'a un renoi dans mon groupe il m'a eu; on voit qu'il vient d'acheter sa paire de nike à Foot Locker ! *je ris fort*
neutral	AL9AA2AQKJ0XP	82073	Y'a t'il un magasin vendant des Nike Air Troupe; sur Paris? (avec du choix si possible ^^)
neutral	AX1YZTIROOQG6	82073	Y'a t'il un magasin vendant des Nike Air Troupe; sur Paris? (avec du choix si possible ^^)
neutral	A2UR4Y9JW4687P	82073	Y'a t'il un magasin vendant des Nike Air Troupe; sur Paris? (avec du choix si possible ^^)
negative	A2LHD8XIKKNNND	36895	Y'a pas de beaux mécheux dans mon college.
neutral	ADJOVRFC5HF00	36895	Y'a pas de beaux mécheux dans mon college.
na	AIK9MZOWM9F4Y	36895	Y'a pas de beaux mécheux dans mon college.
positive	AL9AA2AQKJ0XP	42661	Y'a pas à dire; y'a du gros DJ résident sur FG; j'donnerais très cher pour mixer là bas...
positive	A2LHD8XIKKNNND	42661	Y'a pas à dire; y'a du gros DJ résident sur FG; j'donnerais très cher pour mixer là bas...
positive	AGI2JJZB08N71	42661	Y'a pas à dire; y'a du gros DJ résident sur FG; j'donnerais très cher pour mixer là bas...
neutral	AGI2JJZB08N71	34344	Y'a du monde qui utilise Ping ?
neutral	A2LHD8XIKKNNND	34344	Y'a du monde qui utilise Ping ?
neutral	AIK9MZOWM9F4Y	34344	Y'a du monde qui utilise Ping ?
positive	A3NRGD5KWZIN5O	21542	Y'a deux mecs qui ont trop la classe sur Twitter : @user & @user ♥
positive	AIK9MZOWM9F4Y	21542	Y'a deux mecs qui ont trop la classe sur Twitter : @user & @user ♥
positive	ADJEZQTOOC1TL	21542	Y'a deux mecs qui ont trop la classe sur Twitter : @user & @user ♥
neutral	A3NRGD5KWZIN5O	12506	Y vente en st-simonac à percé
na	AVR599BC03DOO	12506	Y vente en st-simonac à percé
na	AX1YZTIROOQG6	12506	Y vente en st-simonac à percé
neutral	A3NRGD5KWZIN5O	30364	Y a personnes de ma classe qui twitt la ou c'est comment?
neutral	A2LHD8XIKKNNND	30364	Y a personnes de ma classe qui twitt la ou c'est comment?
na	A33G658YR2129O	30364	Y a personnes de ma classe qui twitt la ou c'est comment?
